depth_p,seed,qubits,objective,objective_gap,structure,vienna_energy_kcal_mol,vienna_mfe_kcal_mol,vienna_energy_gap_kcal_mol,matched_exact_qubo,runtime_seconds
1,7,9,-9.0,0.0,(((...))),-1.2,-1.2,0.0,True,1.329
1,21,9,-9.0,0.0,(((...))),-1.2,-1.2,0.0,True,0.871
1,42,9,-9.0,0.0,(((...))),-1.2,-1.2,0.0,True,1.166
2,7,9,-9.0,0.0,(((...))),-1.2,-1.2,0.0,True,1.429
2,21,9,-6.0,3.0,.((...)).,1.1,-1.2,2.3,False,1.918
2,42,9,-9.0,0.0,(((...))),-1.2,-1.2,0.0,True,1.499
3,7,9,-6.0,3.0,((....)).,-1.0,-1.2,0.2,False,2.452
3,21,9,-9.0,0.0,(((...))),-1.2,-1.2,0.0,True,2.563
3,42,9,-9.0,0.0,(((...))),-1.2,-1.2,0.0,True,2.707
